record_key,battery_id,row_type,interval_index,working_ion,paper_training_ion,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,fracA_charge,fracA_discharge,average_voltage_V,crystal_system_charge,spacegroup_number_charge,crystal_system_discharge,spacegroup_number_discharge,num_steps,last_updated,basic_checks_passed,complete_basic_inputs,issues,warnings,source_csv_row,row_uid,input_row_hash,canonical_host,computed_fracA_charge,ion_per_reduced_host_charge,fraction_error_charge,computed_fracA_discharge,ion_per_reduced_host_discharge,fraction_error_discharge,delta_ion_per_reduced_host,composition_checks_passed,symmetry_checks_passed,review_flags,priority_voltage_review,step4_issues,eligible_for_baseline,group_id,mixed_cv_fold,li_cv_fold,shares_group_with_mixed_development,shares_group_with_li_development,partition
9ee032e4e2a022c678c03e98c812df7bcb1f1c4c08bf983438483aadbb4dfb1d,,adjacent,0,K,False,VPCO7,KVPCO7,K2VPCO7,mp-aaabqzmd,mp-aaabqyul,0.09090909090909001,0.16666666666666602,2.960808525499992,Monoclinic,4,Monoclinic,11,2,2025-09-19T09:42:06.614000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,3859,000b2618f40ae3dd81cc8d1d641219d1811da05c973867d8ae06e39e93969c3b,6ff16c90a32facc6d923a31bbb86e27415dd2d06b9b983996695e37252853f84,C:1|O:7|P:1|V:1,0.09090909090909091,1.0,9.020562075079397e-16,0.16666666666666666,2.0,6.38378239159465e-16,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_000b2618f40ae3dd81cc8d1d641219d1811da05c973867d8ae06e39e93969c3b,,,True,True,held_out_K
185212f9e755bbf6ad6ea754455bfa4279a43bc2fde79a1c5607c222a08b47b6,,adjacent,0,K,False,P(W3O10)4,P(W3O10)4,K3P(W3O10)4,mp-aaabpmfr,mp-aaabfnyb,0.0,0.053571428571428006,5.784453109666669,Cubic,224,Cubic,224,1,2025-09-19T09:42:03.313000,True,True,,missing_battery_id_use_record_key_for_provenance,4008,00cbc4dba1e88d18bbe999acb1ac3cbad60f36738d50803c5c30df82c568e49a,515ea954b59d801f406a8e33829bdff4210205ca2a495ddf991c289752c08b92,O:40|P:1|W:12,0.0,0.0,0.0,0.05357142857142857,3.0,5.620504062164855e-16,3.0,True,True,battery_id_absent_using_record_key,False,,True,g_00cbc4dba1e88d18bbe999acb1ac3cbad60f36738d50803c5c30df82c568e49a,,,False,False,held_out_K
96c63b161cc2ae8b878ee76f5150d8d4449586ddf75b24af6783915d41c242ff,,adjacent,0,K,False,WO3,WO3,KWO3,mp-aaaflmlc,mp-aaachfee,0.0,0.2,1.926541555500002,Orthorhombic,57,Cubic,221,1,2025-09-19T09:41:59.277000,True,True,,missing_battery_id_use_record_key_for_provenance,3916,042a14b37115b8cd7f98934b83518bb8b887e8a52d057d0553e688d9e3b3de66,5b768be7a4f72f0718a70478d184583154fd141d8f318ad970137aed9f359510,O:3|W:1,0.0,0.0,0.0,0.2,1.0,0.0,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_0099990c1d8b0681745f52b29a95126f1dacf343d66b53930e400f7fa307089c,,,False,False,held_out_K
cdb4c0ad7035f8c8b1482764bd6b5b86b942c6f5efc865c2f448069054752969,,adjacent,0,K,False,LiVF6,LiVF6,K2LiVF6,mp-aaafyfwv,mp-aaaclgwf,0.0,0.2,3.730885343000001,Monoclinic,12,Cubic,225,1,2025-09-19T09:42:06.357000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,3962,05731f18084fe17d7d383367ff65a7c394b0a231eff430f1354cc023ab911f7e,5fb266db837a6993089cba70775764d93b6f2eb583a1e19b213c94f1d162290e,F:6|Li:1|V:1,0.0,0.0,0.0,0.2,2.0,0.0,2.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_03ed69e55169fdeb00c13db2a12483456b17ece60050e044e9de353c4fcf4f01,,,True,True,held_out_K
5075dfb256fa0c9393e69f9c2b974d379816930d634d103ee4826e394d88885c,,adjacent,0,K,False,VCu3Se4,VCu3Se4,KVCu3Se4,mp-aaaabgip,mp-aaacpepd,0.0,0.11111111111111101,0.337653703000001,Cubic,215,Cubic,215,1,2025-09-19T09:41:59.851000,True,True,,missing_battery_id_use_record_key_for_provenance,3880,060c2a10c384aa7960c2ed0de74ab16deae97fecd6921b618e1019511fe6b53c,b7a4877e1d02d043d5616681b101a6ebbd47e1150cb3a0851876cc8b72f49b01,Cu:3|Se:4|V:1,0.0,0.0,0.0,0.1111111111111111,1.0,9.71445146547012e-17,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_060c2a10c384aa7960c2ed0de74ab16deae97fecd6921b618e1019511fe6b53c,,,True,False,held_out_K
a1a69044dbf909cb2bb468bafc8d6478d6c4faca1156a62c7efe7a54ea7c7129,,adjacent,0,K,False,TaCl6,K2TaCl6,K3TaCl6,mp-aaaabukh,mp-aaaclfzm,0.22222222222222202,0.30000000000000004,0.8756052229999941,Cubic,225,Cubic,225,1,2025-09-19T09:42:02.076000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,3942,0923ff7bc9dc4f45a2d77afecb4ea311561a87520eaeda1e81dd42e6714a5338,d1f8842e387535379658b789ab1bd7d7604be916f165fa9e90be2c2763b12af9,Cl:6|Ta:1,0.2222222222222222,2.0,1.942890293094024e-16,0.3,3.0,5.551115123125783e-17,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_0923ff7bc9dc4f45a2d77afecb4ea311561a87520eaeda1e81dd42e6714a5338,,,True,True,held_out_K
a509a3e655fefda113864c7ae2c719747c4797e27b2d887a91cd15a340354c7a,,adjacent,0,K,False,SnPCO7,K2SnPCO7,K3SnPCO7,mp-aaabrzfb,mp-aaabqxtr,0.16666666666666602,0.23076923076923,2.6050180129999982,Monoclinic,11,Monoclinic,11,1,2025-09-19T09:42:06.405000,True,True,,missing_battery_id_use_record_key_for_provenance;source:Transition metal not found,3856,0a8b5c11d3fc28827ed650e5216176648639d45775bd747d2d1e7e139eb2ffd3,f74dafeae01a9914d4600cb96c669290c0c6bb93444437d7f2f9559651f677be,C:1|O:7|P:1|Sn:1,0.16666666666666666,2.0,6.38378239159465e-16,0.23076923076923078,3.0,7.771561172376096e-16,1.0,True,True,battery_id_absent_using_record_key;source:Transition metal not found,False,,True,g_0a8b5c11d3fc28827ed650e5216176648639d45775bd747d2d1e7e139eb2ffd3,,,False,False,held_out_K
c8a0634c36abdd52ff5aad17f67fbc813b2e4ea09b37da1acd2e65c7c2773a32,,adjacent,2,K,False,MnO2,KMn6O12,KMn4O8,mp-aaabrdbk,mp-aaacfcfc,0.052631578947368,0.07692307692307601,2.534706682999989,Tetragonal,87,Tetragonal,87,4,2025-09-19T09:41:59.381000,True,True,,missing_battery_id_use_record_key_for_provenance,3898,0bc7cbeafedea512e7a36468de7ec8d51d013b44ce46ad0e69a1cc9223a0b54b,bf1d1fef65fd3d95840be408f533236bca2c99571485963aae248d3140249426,Mn:1|O:2,0.05263157894736842,0.16666666666666666,4.163336342344337e-16,0.07692307692307693,0.25,9.159339953157541e-16,0.08333333333333334,True,True,battery_id_absent_using_record_key,False,,True,g_000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,,,True,True,held_out_K
b90b06ab9ee24a8d62297c78c3698e18c2482bb3351f9338bd1c87a8d8066e73,,adjacent,0,K,False,Sb,Sb,K3Sb,mp-aaaaapsw,mp-aaaaapat,0.0,0.75,0.6742413230000001,Cubic,225,Cubic,225,1,2025-09-19T09:41:57.841000,True,True,,missing_battery_id_use_record_key_for_provenance;source:Transition metal not found,3920,0c3dc66a9d8281b2b0d410a6a701a78128e2f332f1879ab877273973fed16562,610204170ff67e686659219aa28c00472f4ece7d1fd04a71dd694aaba696fb48,Sb:1,0.0,0.0,0.0,0.75,3.0,0.0,3.0,True,True,battery_id_absent_using_record_key;source:Transition metal not found,False,,True,g_00f73885843cb2d295d05cbc7a067426af84b7685d2f760a8787725fe16b0c86,,,True,True,held_out_K
2273008e67eabb771d9b8faaa1acd5a1ad6dc9341550f50a875aacd9641e00b3,,adjacent,0,K,False,Na2NiO2,Na2NiO2,KNa2NiO2,mp-aaabshmq,mp-aaacrpsw,0.0,0.16666666666666602,0.561743727999999,Tetragonal,139,Tetragonal,107,1,2025-09-19T09:42:07.588000,True,True,,missing_battery_id_use_record_key_for_provenance,3990,0ccf4fc47b7d7f5466c244408425d80ad95baab6dd93aea944463e57382db5f7,4413061c8aba7334733d6fa51ef466a71240a875e54bc87ae6f863bbc8752529,Na:2|Ni:1|O:2,0.0,0.0,0.0,0.16666666666666666,1.0,6.38378239159465e-16,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_0ccf4fc47b7d7f5466c244408425d80ad95baab6dd93aea944463e57382db5f7,,,False,False,held_out_K
