record_key,battery_id,row_type,interval_index,working_ion,paper_training_ion,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,fracA_charge,fracA_discharge,average_voltage_V,crystal_system_charge,spacegroup_number_charge,crystal_system_discharge,spacegroup_number_discharge,num_steps,last_updated,basic_checks_passed,complete_basic_inputs,issues,warnings,source_csv_row,row_uid,input_row_hash,canonical_host,computed_fracA_charge,ion_per_reduced_host_charge,fraction_error_charge,computed_fracA_discharge,ion_per_reduced_host_discharge,fraction_error_discharge,delta_ion_per_reduced_host,composition_checks_passed,symmetry_checks_passed,review_flags,priority_voltage_review,step4_issues,eligible_for_baseline,group_id,mixed_cv_fold,li_cv_fold,shares_group_with_mixed_development,shares_group_with_li_development,partition
709272b88096bff3a1753bdd74d29c093503b9adf79c70bb1d29a86bc2f78a8c,,adjacent,0,Li,True,MnO2,LiMn6O12,LiMn3O6,mp-aaacoypv,mp-aaacoyqq,0.052631578947368,0.1,4.075111980000007,Triclinic,1,Monoclinic,9,2,2025-09-19T09:44:35.510000,True,True,,missing_battery_id_use_record_key_for_provenance,1066,000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,b09c9f0cd8c59cd134eab3043f8d3d038e22adbf14acff830693e274133f3d96,Mn:1|O:2,0.05263157894736842,0.16666666666666666,4.163336342344337e-16,0.1,0.3333333333333333,0.0,0.16666666666666666,True,True,battery_id_absent_using_record_key,False,,True,g_000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,0,0,,,development
0a88625b7fdb10cbd413b3825086e260334d30e7b84d1d6317891d52793a6b00,,adjacent,0,Li,True,MnV3O8,Li2MnV3O8,Li5MnV3O8,mp-aaabsdeq,mp-aaabrmkc,0.14285714285714202,0.29411764705882304,1.762360661666666,Orthorhombic,19,Cubic,212,1,2025-09-19T09:44:42.087000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,1349,0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,1010c6290e1542800d2ac966499407a879bde23f9cc115fc4b69c3a40ea87373,Mn:1|O:8|V:3,0.14285714285714285,2.0,8.326672684688674e-16,0.29411764705882354,5.0,4.996003610813204e-16,3.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,6,1,,,development
8aafa340cf138b79526877b673d258b26fbdb07261906531f89629ae3d2c4541,,adjacent,1,Li,True,Ni2(PO4)3,Li3Ni2(PO4)3,Li4Ni2(PO4)3,mp-aaaabmwp,mp-aaabryye,0.15,0.19047619047619002,4.373371993333341,Trigonal,148,Triclinic,2,3,2025-09-19T09:43:47.265000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,3029,003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,13f804c8415b0b68a213f0a0609e37bb035a7eed366dfac9f7475e8921ce4929,Ni:2|O:12|P:3,0.15,3.0,0.0,0.19047619047619047,4.0,4.440892098500626e-16,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,7,8,,,development
cf1302d5924891eb0fa47d9964cde2fed0ed5212326013f5d37846b9e8ce6732,,adjacent,1,Li,True,MoP4O13,LiMoP4O13,Li2MoP4O13,mp-aaaabmke,mp-aaabobsu,0.052631578947368,0.1,4.042422158333356,Triclinic,1,Triclinic,2,2,2025-09-19T09:43:37.926000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,2915,004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,57d20d7daabe59cfd3e29caff5ddc83b3ebca04afbc305497f255773a80cbfa2,Mo:1|O:13|P:4,0.05263157894736842,1.0,4.163336342344337e-16,0.1,2.0,0.0,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,7,2,,,development
d9c334f21fbedd2c24f10239a74f9ca1f5fbe1546ec913b401f3c774e6237c99,,adjacent,1,Li,True,CrP2(O4F)2,Li4CrP2(O4F)2,Li5CrP2(O4F)2,mp-aaabrewd,mp-aaabrwbn,0.23529411764705802,0.277777777777777,4.433289576666657,Triclinic,1,Trigonal,143,2,2025-09-19T09:44:36.112000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,2073,0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,2af2213d7f643e4ba64a2a6ca077f01ad55017adae9417474f25e8209ade9fe6,Cr:1|F:2|O:8|P:2,0.23529411764705882,4.0,8.049116928532385e-16,0.2777777777777778,5.0,7.771561172376096e-16,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,3,5,,,development
c188516ae9389fddb55604e1b4d326ee5816d0240e6c783d4c4ecc1d0b26a186,,adjacent,0,Li,True,Co(CO3)2,LiCo2(CO3)4,LiCo(CO3)2,mp-aaabrejl,mp-aaabrdmq,0.052631578947368,0.1,4.95189514833334,Monoclinic,4,Monoclinic,14,3,2025-09-19T09:44:22.368000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,255,00674f382ed16f18ab77a1a69c3cdb37ce1a8882366d045b5cc60ed20a600092,54e293ea72de746e9e4ffbf446e9cfc1c7499c5f8de2103830147b1b3e5f8889,C:2|Co:1|O:6,0.05263157894736842,0.5,4.163336342344337e-16,0.1,1.0,0.0,0.5,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_00674f382ed16f18ab77a1a69c3cdb37ce1a8882366d045b5cc60ed20a600092,7,9,,,development
9c520a372c6c5e4e5fa332f160245fc7c6afd3eae91abb33f50c37c9c30d4ea7,,adjacent,0,Li,True,Cu2(SO4)3,Cu2(SO4)3,Li2Cu2(SO4)3,mp-aaabwlbr,mp-aaabwlav,0.0,0.105263157894736,4.8235295252083334,Orthorhombic,61,Orthorhombic,61,1,2025-09-19T09:44:52.421000,True,True,,missing_battery_id_use_record_key_for_provenance,756,006df9c42cea50d0510d89de9fae77b26880d08db69c3ffdb55849cda5914dd0,db78b55a053a2b82438d77f0ccf426558b048ebdafb8762421a4daccd6b82269,Cu:2|O:12|S:3,0.0,0.0,0.0,0.10526315789473684,2.0,8.326672684688674e-16,2.0,True,True,battery_id_absent_using_record_key,False,,True,g_006df9c42cea50d0510d89de9fae77b26880d08db69c3ffdb55849cda5914dd0,4,8,,,development
a2334b76d95bc367a75adf1ddb8f2f307752d0970799e4b254dda6aab1d7500e,,adjacent,0,Li,True,MnAsO4,MnAsO4,LiMnAsO4,mp-aaabdbol,mp-aaaabdrg,0.0,0.14285714285714202,3.76744912833333,Orthorhombic,62,Orthorhombic,62,1,2025-09-19T09:43:30.662000,True,True,,missing_battery_id_use_record_key_for_provenance,42,00750822a80c23f51693d22236d844ec08f3775a57a0b49f1360140121d9ba5b,63cc2f6c96e6ff5739ac883dd549c17a8703384759bf299115b92e481f8582bc,As:1|Mn:1|O:4,0.0,0.0,0.0,0.14285714285714285,1.0,8.326672684688674e-16,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_00750822a80c23f51693d22236d844ec08f3775a57a0b49f1360140121d9ba5b,5,4,,,development
4efa7a3d3b7a609aaaf8d97c7965b03bd2a694bd3591c0432587e488ec320c5b,,adjacent,0,Li,True,CoO2,CoO2,Li(CoO2)3,mp-aaabqymu,mp-aaabrffx,0.0,0.1,4.006132110833339,Orthorhombic,39,Monoclinic,9,3,2025-09-19T09:44:23.407000,True,True,,missing_battery_id_use_record_key_for_provenance,1863,0098ba000b787cdb38b936a139e19128159629fc43ebb665dc718d8443ad9adb,e9864510c7770316eb4deb47daeee4b2ddc419536962932085ad055c0a46320f,Co:1|O:2,0.0,0.0,0.0,0.1,0.3333333333333333,0.0,0.3333333333333333,True,True,battery_id_absent_using_record_key,False,,True,g_0098ba000b787cdb38b936a139e19128159629fc43ebb665dc718d8443ad9adb,5,4,,,development
86af61030550f62002de1049e9bc04a95e76491c59773aaebeb0fcaeb68c676f,,adjacent,0,Li,True,La4CoO8,La4CoO8,LiLa4CoO8,mp-aaabshfs,mp-aaabqxhm,0.0,0.07142857142857101,3.724501480833344,Tetragonal,141,Tetragonal,141,1,2025-09-19T09:44:25.962000,True,True,,missing_battery_id_use_record_key_for_provenance,1763,00ae922a13c4857995e7bed1ef6f5e6e00243547317e43902de62c6909bea37f,5d4076277bfcd5a54756e9d1094562ae915ca1df1ecf97b04cfb79f84e441001,Co:1|La:4|O:8,0.0,0.0,0.0,0.07142857142857142,1.0,4.163336342344337e-16,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_00ae922a13c4857995e7bed1ef6f5e6e00243547317e43902de62c6909bea37f,6,4,,,development
