record_key,battery_id,row_type,interval_index,working_ion,paper_training_ion,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,fracA_charge,fracA_discharge,average_voltage_V,crystal_system_charge,spacegroup_number_charge,crystal_system_discharge,spacegroup_number_discharge,num_steps,last_updated,basic_checks_passed,complete_basic_inputs,issues,warnings,source_csv_row,row_uid,input_row_hash,canonical_host,computed_fracA_charge,ion_per_reduced_host_charge,fraction_error_charge,computed_fracA_discharge,ion_per_reduced_host_discharge,fraction_error_discharge,delta_ion_per_reduced_host,composition_checks_passed,symmetry_checks_passed,review_flags,priority_voltage_review,step4_issues,eligible_for_baseline,group_id,mixed_cv_fold,li_cv_fold,shares_group_with_mixed_development,shares_group_with_li_development,partition
709272b88096bff3a1753bdd74d29c093503b9adf79c70bb1d29a86bc2f78a8c,,adjacent,0,Li,True,MnO2,LiMn6O12,LiMn3O6,mp-aaacoypv,mp-aaacoyqq,0.052631578947368,0.1,4.075111980000007,Triclinic,1,Monoclinic,9,2,2025-09-19T09:44:35.510000,True,True,,missing_battery_id_use_record_key_for_provenance,1066,000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,b09c9f0cd8c59cd134eab3043f8d3d038e22adbf14acff830693e274133f3d96,Mn:1|O:2,0.05263157894736842,0.16666666666666666,4.163336342344337e-16,0.1,0.3333333333333333,0.0,0.16666666666666666,True,True,battery_id_absent_using_record_key,False,,True,g_000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,0,0,,,development
8ed833a8ab17a1c75daaaeaf25c81d1c3c09ed93c0a1cf92d560d68a18378c54,,adjacent,0,Ca,True,WF5,WF5,CaWF5,mp-aaaczvjd,mp-aaacypsg,0.0,0.14285714285714202,3.252734338750001,Monoclinic,14,Monoclinic,14,1,2025-09-19T09:42:31.497000,True,True,,missing_battery_id_use_record_key_for_provenance,6549,0029361da01f55dbf834531c91faf2e743b60fddc6a0a3a4e71cea8fe4506cd0,9f5d9955679fe60ba79acad722497ec9ce7b45338087f88f0516fa7a91878e3e,F:5|W:1,0.0,0.0,0.0,0.14285714285714285,1.0,8.326672684688674e-16,1.0,True,True,battery_id_absent_using_record_key,False,,True,g_0029361da01f55dbf834531c91faf2e743b60fddc6a0a3a4e71cea8fe4506cd0,1,,,,development
13f9fa81baf568d523a4d49c1b5127705de8a89d9b53060f5b5889fc0144a53d,,adjacent,0,Al,True,Cu3(SbO3)4,Cu3(SbO3)4,AlCu3(SbO3)4,mp-aaachiln,mp-aaachmur,0.0,0.05,-0.49258618333333204,Cubic,204,Cubic,204,1,2025-09-19T09:41:30.197000,True,True,,missing_battery_id_use_record_key_for_provenance,7205,003265d086dc55f79a45edf11c2914e484aaa19b06471f359f4d3b6ceaa0134d,47784e41414d5d60de1a48ca19bb4f9d6885b4ef8bb623ccba2f06581473b965,Cu:3|O:12|Sb:4,0.0,0.0,0.0,0.05,1.0,0.0,1.0,True,True,battery_id_absent_using_record_key;negative_voltage,False,,True,g_003265d086dc55f79a45edf11c2914e484aaa19b06471f359f4d3b6ceaa0134d,0,,,,development
dc163e87c1e55328f1426bf0795466c59fd901c2d1944e70cdf284a06ff65892,,adjacent,0,Mg,True,SnO2,SnO2,Mg(SnO2)2,mp-aaaczegf,mp-aaachltq,0.0,0.14285714285714202,1.6610494541666692,Trigonal,156,Monoclinic,8,1,2025-09-19T09:43:13.068000,True,True,,missing_battery_id_use_record_key_for_provenance;source:Transition metal not found,5031,00346dbd0917f5bbb8447c829911a1e9e8bfabcef2a3d4385f9830525fb9be7c,9e085667a77cced5da3e997016b1a83be7f717401fd6b334bbb6980a894a0098,O:2|Sn:1,0.0,0.0,0.0,0.14285714285714285,0.5,8.326672684688674e-16,0.5,True,True,battery_id_absent_using_record_key;source:Transition metal not found,False,,True,g_00346dbd0917f5bbb8447c829911a1e9e8bfabcef2a3d4385f9830525fb9be7c,5,,,,development
cc5ef50204d6bcc98f22a221a47d8b6d74e3789d1edf296b576f6d95e2028575,,adjacent,0,Mg,True,CsMnH4Cl3O2,CsMnH4Cl3O2,Cs4MgMn4H16(Cl3O2)4,mp-aaacqkdz,mp-aaacsgos,0.0,0.022222222222222,-1.257080374999996,Orthorhombic,54,Monoclinic,3,1,2025-09-19T09:43:21.765000,True,True,,missing_battery_id_use_record_key_for_provenance,5273,003595dc91215b5958d3227fee71c358acc7bce20bd977ead1704b0a086f4386,c1c41aa3562493f610058334dc009e2525536d3eaf049a5fe1dfe737230fa05f,Cl:3|Cs:1|H:4|Mn:1|O:2,0.0,0.0,0.0,0.022222222222222223,0.25,2.220446049250313e-16,0.25,True,True,battery_id_absent_using_record_key;negative_voltage,False,,True,g_003595dc91215b5958d3227fee71c358acc7bce20bd977ead1704b0a086f4386,2,,,,development
0a88625b7fdb10cbd413b3825086e260334d30e7b84d1d6317891d52793a6b00,,adjacent,0,Li,True,MnV3O8,Li2MnV3O8,Li5MnV3O8,mp-aaabsdeq,mp-aaabrmkc,0.14285714285714202,0.29411764705882304,1.762360661666666,Orthorhombic,19,Cubic,212,1,2025-09-19T09:44:42.087000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,1349,0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,1010c6290e1542800d2ac966499407a879bde23f9cc115fc4b69c3a40ea87373,Mn:1|O:8|V:3,0.14285714285714285,2.0,8.326672684688674e-16,0.29411764705882354,5.0,4.996003610813204e-16,3.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,6,1,,,development
8aafa340cf138b79526877b673d258b26fbdb07261906531f89629ae3d2c4541,,adjacent,1,Li,True,Ni2(PO4)3,Li3Ni2(PO4)3,Li4Ni2(PO4)3,mp-aaaabmwp,mp-aaabryye,0.15,0.19047619047619002,4.373371993333341,Trigonal,148,Triclinic,2,3,2025-09-19T09:43:47.265000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,3029,003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,13f804c8415b0b68a213f0a0609e37bb035a7eed366dfac9f7475e8921ce4929,Ni:2|O:12|P:3,0.15,3.0,0.0,0.19047619047619047,4.0,4.440892098500626e-16,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,7,8,,,development
a1ab78814fa4924b059217c673b44a361e0292afa1339243f7fe07b6f17d4196,,adjacent,0,Mg,True,Ag,Mg2Ag,Mg3Ag,mp-aaacpmby,mp-aaabxfnk,0.6666666666666661,0.75,-0.005600952500000001,Orthorhombic,63,Hexagonal,194,1,2025-09-19T09:44:03.706000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,4013,0047d64affefcccb69c0a23360c0ab391f61948de49885c84f2aa8cc9ec0001a,c12d7cd29953d890a2071fc6e7638dbda6bf4d4354d29dd04ddc172b999cb3a4,Ag:1,0.6666666666666666,2.0,5.551115123125783e-16,0.75,3.0,0.0,1.0,True,True,battery_id_absent_using_record_key;negative_voltage;source:More than one working ion per transition metal,False,,True,g_0047d64affefcccb69c0a23360c0ab391f61948de49885c84f2aa8cc9ec0001a,0,,,,development
cf1302d5924891eb0fa47d9964cde2fed0ed5212326013f5d37846b9e8ce6732,,adjacent,1,Li,True,MoP4O13,LiMoP4O13,Li2MoP4O13,mp-aaaabmke,mp-aaabobsu,0.052631578947368,0.1,4.042422158333356,Triclinic,1,Triclinic,2,2,2025-09-19T09:43:37.926000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,2915,004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,57d20d7daabe59cfd3e29caff5ddc83b3ebca04afbc305497f255773a80cbfa2,Mo:1|O:13|P:4,0.05263157894736842,1.0,4.163336342344337e-16,0.1,2.0,0.0,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,7,2,,,development
d9c334f21fbedd2c24f10239a74f9ca1f5fbe1546ec913b401f3c774e6237c99,,adjacent,1,Li,True,CrP2(O4F)2,Li4CrP2(O4F)2,Li5CrP2(O4F)2,mp-aaabrewd,mp-aaabrwbn,0.23529411764705802,0.277777777777777,4.433289576666657,Triclinic,1,Trigonal,143,2,2025-09-19T09:44:36.112000,True,True,,missing_battery_id_use_record_key_for_provenance;source:More than one working ion per transition metal,2073,0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,2af2213d7f643e4ba64a2a6ca077f01ad55017adae9417474f25e8209ade9fe6,Cr:1|F:2|O:8|P:2,0.23529411764705882,4.0,8.049116928532385e-16,0.2777777777777778,5.0,7.771561172376096e-16,1.0,True,True,battery_id_absent_using_record_key;source:More than one working ion per transition metal,False,,True,g_0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,3,5,,,development
