row_uid,record_key,interval_index,working_ion,canonical_host,group_id,eligible_for_baseline,partition,mixed_cv_fold,li_cv_fold
000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,709272b88096bff3a1753bdd74d29c093503b9adf79c70bb1d29a86bc2f78a8c,0,Li,Mn:1|O:2,g_000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,True,development,0,0
000b2618f40ae3dd81cc8d1d641219d1811da05c973867d8ae06e39e93969c3b,9ee032e4e2a022c678c03e98c812df7bcb1f1c4c08bf983438483aadbb4dfb1d,0,K,C:1|O:7|P:1|V:1,g_000b2618f40ae3dd81cc8d1d641219d1811da05c973867d8ae06e39e93969c3b,True,held_out_K,,
0029361da01f55dbf834531c91faf2e743b60fddc6a0a3a4e71cea8fe4506cd0,8ed833a8ab17a1c75daaaeaf25c81d1c3c09ed93c0a1cf92d560d68a18378c54,0,Ca,F:5|W:1,g_0029361da01f55dbf834531c91faf2e743b60fddc6a0a3a4e71cea8fe4506cd0,True,development,1,
003265d086dc55f79a45edf11c2914e484aaa19b06471f359f4d3b6ceaa0134d,13f9fa81baf568d523a4d49c1b5127705de8a89d9b53060f5b5889fc0144a53d,0,Al,Cu:3|O:12|Sb:4,g_003265d086dc55f79a45edf11c2914e484aaa19b06471f359f4d3b6ceaa0134d,True,development,0,
00346dbd0917f5bbb8447c829911a1e9e8bfabcef2a3d4385f9830525fb9be7c,dc163e87c1e55328f1426bf0795466c59fd901c2d1944e70cdf284a06ff65892,0,Mg,O:2|Sn:1,g_00346dbd0917f5bbb8447c829911a1e9e8bfabcef2a3d4385f9830525fb9be7c,True,development,5,
003595dc91215b5958d3227fee71c358acc7bce20bd977ead1704b0a086f4386,cc5ef50204d6bcc98f22a221a47d8b6d74e3789d1edf296b576f6d95e2028575,0,Mg,Cl:3|Cs:1|H:4|Mn:1|O:2,g_003595dc91215b5958d3227fee71c358acc7bce20bd977ead1704b0a086f4386,True,development,2,
0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,0a88625b7fdb10cbd413b3825086e260334d30e7b84d1d6317891d52793a6b00,0,Li,Mn:1|O:8|V:3,g_0038a432b254299030f98a815979dbf9b24c67afc61222061d1b82e23be0912f,True,development,6,1
003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,8aafa340cf138b79526877b673d258b26fbdb07261906531f89629ae3d2c4541,1,Li,Ni:2|O:12|P:3,g_003fd05bf7de944e6bf9387f9d76aed397ec47f794a10969343c7ac757d310d1,True,development,7,8
0047d64affefcccb69c0a23360c0ab391f61948de49885c84f2aa8cc9ec0001a,a1ab78814fa4924b059217c673b44a361e0292afa1339243f7fe07b6f17d4196,0,Mg,Ag:1,g_0047d64affefcccb69c0a23360c0ab391f61948de49885c84f2aa8cc9ec0001a,True,development,0,
004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,cf1302d5924891eb0fa47d9964cde2fed0ed5212326013f5d37846b9e8ce6732,1,Li,Mo:1|O:13|P:4,g_004866981e1c78da6cbf3c860c94ade6b4061a27ff65ef59045df680eb9e1f7f,True,development,7,2
004c103fbe72b8aaef2becd1830ecc6c737cdec0639adddc4da3ba3103726616,96e1ba6cf4efa791dd0923ef5528fddb361ccc7e073888200f3181acfb998180,0,Li,Nb:4|O:13|Sr:3,g_004c103fbe72b8aaef2becd1830ecc6c737cdec0639adddc4da3ba3103726616,True,holdout,,
004ccec19a4098286d948ff2d9b087526c02a6464462471a01e36e1b06169f0d,66defce9fd21e358a42f3ada491dd86fcb84e048f8a8434df0418fa87a3efc63,0,Zn,As:2|Cu:1|O:8,g_004ccec19a4098286d948ff2d9b087526c02a6464462471a01e36e1b06169f0d,True,holdout,,
0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,d9c334f21fbedd2c24f10239a74f9ca1f5fbe1546ec913b401f3c774e6237c99,1,Li,Cr:1|F:2|O:8|P:2,g_0052b3591596793d4fae98d07d49748c633324caf512baab3b760afaccfc8e20,True,development,3,5
005bc47e79368afc115fac7a36f77b46f15a1a1d10f8f23bcf5ae2ce2c535b93,e94d067fd395968a056f3122d5ec5ba706d8304a1c51a265783b2af8044ef38a,0,Na,F:6|Mn:1|Rb:2,g_005bc47e79368afc115fac7a36f77b46f15a1a1d10f8f23bcf5ae2ce2c535b93,True,held_out_Na,,
00674f382ed16f18ab77a1a69c3cdb37ce1a8882366d045b5cc60ed20a600092,c188516ae9389fddb55604e1b4d326ee5816d0240e6c783d4c4ecc1d0b26a186,0,Li,C:2|Co:1|O:6,g_00674f382ed16f18ab77a1a69c3cdb37ce1a8882366d045b5cc60ed20a600092,True,development,7,9
006df9c42cea50d0510d89de9fae77b26880d08db69c3ffdb55849cda5914dd0,9c520a372c6c5e4e5fa332f160245fc7c6afd3eae91abb33f50c37c9c30d4ea7,0,Li,Cu:2|O:12|S:3,g_006df9c42cea50d0510d89de9fae77b26880d08db69c3ffdb55849cda5914dd0,True,development,4,8
00750822a80c23f51693d22236d844ec08f3775a57a0b49f1360140121d9ba5b,a2334b76d95bc367a75adf1ddb8f2f307752d0970799e4b254dda6aab1d7500e,0,Li,As:1|Mn:1|O:4,g_00750822a80c23f51693d22236d844ec08f3775a57a0b49f1360140121d9ba5b,True,development,5,4
007ea3189b7da0a645277a2ce86ae81eefa70d1fbc267a3963799ec77b7b3000,61ec3dc8bf6c3f8c81d8867ffd2d3e0ce3aa11c70be516012dbc73f1f1f62be3,0,Ca,Fe:1|O:7|P:2,g_007ea3189b7da0a645277a2ce86ae81eefa70d1fbc267a3963799ec77b7b3000,True,development,9,
0085b2798fe6287eca77a02dba1229a0c9b9266457d066598a62db4748f15cb0,ab1067d228d35c3e24dc0e3b2d7010174834017120483e1d9029216abaa87e74,0,Ca,Cr:1|O:2,g_0085b2798fe6287eca77a02dba1229a0c9b9266457d066598a62db4748f15cb0,True,development,6,
0098ba000b787cdb38b936a139e19128159629fc43ebb665dc718d8443ad9adb,4efa7a3d3b7a609aaaf8d97c7965b03bd2a694bd3591c0432587e488ec320c5b,0,Li,Co:1|O:2,g_0098ba000b787cdb38b936a139e19128159629fc43ebb665dc718d8443ad9adb,True,development,5,4
0099990c1d8b0681745f52b29a95126f1dacf343d66b53930e400f7fa307089c,57bb11b0591f1890791c9ef758377fe114edced8d6126d9a3429a93af827e220,0,Na,O:3|W:1,g_0099990c1d8b0681745f52b29a95126f1dacf343d66b53930e400f7fa307089c,True,held_out_Na,,
00a6666594e6f406bb750f9b639e849a775b23fc8da6ed3b964ae34055f22e6a,e9752f5f1cf61a9c77cdd6bba5b0ec2ae739eda97308a000be469ae0f4f7ee96,0,Ca,Cu:3|O:12|Ti:4,g_00a6666594e6f406bb750f9b639e849a775b23fc8da6ed3b964ae34055f22e6a,True,development,5,
00a70c6b08654f0bf5db00906560b12f9b2b4e8473c7d2b04d87a9d8545c5d8f,2ca734c8dc5849f4c13002e2b0e8f2fee85e42d566a8147c60d953aad31f8dda,0,Mg,F:2|O:1|V:1,g_00a70c6b08654f0bf5db00906560b12f9b2b4e8473c7d2b04d87a9d8545c5d8f,True,development,8,
00a765d06ad585f46f7b86d0f04bf7abf1f249e25330d883b07215648682dfb7,77e642433a780411ae8454dc7a4e907c574a3e4028c63805099c7e6b6b68431a,0,Na,S:2|V:1,g_00a765d06ad585f46f7b86d0f04bf7abf1f249e25330d883b07215648682dfb7,True,held_out_Na,,
00ae922a13c4857995e7bed1ef6f5e6e00243547317e43902de62c6909bea37f,86af61030550f62002de1049e9bc04a95e76491c59773aaebeb0fcaeb68c676f,0,Li,Co:1|La:4|O:8,g_00ae922a13c4857995e7bed1ef6f5e6e00243547317e43902de62c6909bea37f,True,development,6,4
00b31f9025dad545d0efb590cb60292008d6d41305bbb8a80c2ac417b45833ef,1416910064cc9837fc98f626cb8511527078a3dfc2cbab43a52edefcd8e8da2f,0,Mg,Cu:1|O:8|P:2|Sr:2,g_00b31f9025dad545d0efb590cb60292008d6d41305bbb8a80c2ac417b45833ef,True,holdout,,
00c203560c0b4b824f8958907f19535a4a4e6b232816c08ff666e3183055463e,f2a2dfd8e24b6e9d3da5d4885a1368bebcc0df18c8c3cc74ecd762a68a07db03,0,Li,Fe:2|O:12|P:3,g_00c203560c0b4b824f8958907f19535a4a4e6b232816c08ff666e3183055463e,True,development,6,6
00c271fdeba06ad36e66758c57b4482815a345d7000931c1bb19e9c95c067ee0,022e35506f4c275b989e4a4c09815e646145c8f7905c59ed008d486e5cd217e4,0,Li,F:6|Nb:1,g_00c271fdeba06ad36e66758c57b4482815a345d7000931c1bb19e9c95c067ee0,True,holdout,,
00cbc4dba1e88d18bbe999acb1ac3cbad60f36738d50803c5c30df82c568e49a,185212f9e755bbf6ad6ea754455bfa4279a43bc2fde79a1c5607c222a08b47b6,0,K,O:40|P:1|W:12,g_00cbc4dba1e88d18bbe999acb1ac3cbad60f36738d50803c5c30df82c568e49a,True,held_out_K,,
00d3d7cb3f8d66d44b3f040839c5d0e606c0fcdd53c66e939e8e35bc40657011,e3a7423c9cdcd2db244924568f7566be6e753c36617d8afab8ccf9eb4ab5043e,0,Mg,Mn:1|O:4|P:1,g_00d3d7cb3f8d66d44b3f040839c5d0e606c0fcdd53c66e939e8e35bc40657011,True,development,8,
00d74d76cb7fc5dd6add1268040a962dc4e1e8eb6318eb11410162e397cd266f,c470f4a12454bb63283836f38f420893b3c363d205b3f68c1c57dd36fdcf3cc0,1,Li,Co:2|Ni:1|O:6,g_00d74d76cb7fc5dd6add1268040a962dc4e1e8eb6318eb11410162e397cd266f,True,development,1,0
00e2392d2a755ff29b6c6a48bfa1c8a47983b6575986e113635c82061ff30de4,bc1d9928611c9840e41b67b8642d203ebd45b74da1d3410519dfe3bfb454c8ea,0,Na,Cu:9|O:32|P:8,g_00e2392d2a755ff29b6c6a48bfa1c8a47983b6575986e113635c82061ff30de4,True,held_out_Na,,
00e605831239b11808ccbc05ba3eb6c2414035f245ff4a57f4ca925355045e10,fadffca55bc6613871b57b4beaf90f1f45e698cd985a6e504a8a7ce7cb1ee6b4,0,Mg,F:4|Mn:3|O:2,g_00e605831239b11808ccbc05ba3eb6c2414035f245ff4a57f4ca925355045e10,True,development,1,
00efb355ee51e5e3430a52126b6f830b6463cddc8a639438178e0a1f294eb19c,ff426192422f7dc9d970b1cb0763a54d7afa2a920690f49e7074ebdafd4c4284,0,Na,Mn:1|O:2,g_000369223c9cf92980690254ce6978fa62ec9ea8df99c416b95219dd55162a3f,True,held_out_Na,,
00f1d13aa7e7556f1b9f76bc3fd44cb705a8becf8ef696039af7ef000f616366,1355c0b752595334e22975617c5ad1b9f30d48de821d3770170d0a61b31d45a8,0,Na,Mn:1|O:15|P:5,g_00f1d13aa7e7556f1b9f76bc3fd44cb705a8becf8ef696039af7ef000f616366,True,held_out_Na,,
00f73885843cb2d295d05cbc7a067426af84b7685d2f760a8787725fe16b0c86,975b155452fea839680514148a50cbb02e40b3b396894ee471de99947af5af85,0,Na,Sb:1,g_00f73885843cb2d295d05cbc7a067426af84b7685d2f760a8787725fe16b0c86,True,held_out_Na,,
01019f67530f3d3ff532866d5ef8aaf7dc246345e5541a810520be940e3f0b08,882999c790a58c3ddc9ac4d13e756a03b827aa2de0335c0d4b6c19340e15d3cc,1,Mg,O:2|Ti:1,g_01019f67530f3d3ff532866d5ef8aaf7dc246345e5541a810520be940e3f0b08,True,development,1,
0101f05ac27e05e5f1ea4e6a85ae8edc9a84ec1c2f8fd36c601892e0d0158afe,ccec72fb37a09db10667419936d17f475ed441330326d2a9f0c2a0b4039a3c5d,0,Li,F:19|O:5|V:6,g_0101f05ac27e05e5f1ea4e6a85ae8edc9a84ec1c2f8fd36c601892e0d0158afe,True,development,1,1
011ea8d91327f4d402298629733174d756b2d09a0634aa352621a0faa7a129f2,c315f02dba0c29517d884bd04ca652dfb7c4bb83799f1e4287e1523a800a1bba,0,Zn,Ge:2|O:6|V:1,g_011ea8d91327f4d402298629733174d756b2d09a0634aa352621a0faa7a129f2,True,development,9,
0130b94e3166691b5ee88ea30bc8690d48d9c64f5c44c537aab3f199c7fcaf54,4d88d06ad864a8e29926766539761fdcdecb724c382d2593739ab7ab8cf3d96e,0,Mg,Cu:2|K:1|S:4|V:1,g_0130b94e3166691b5ee88ea30bc8690d48d9c64f5c44c537aab3f199c7fcaf54,True,development,7,
0132d102f59f69530282958b7315cfe0a36fba1a34c13311cbad663e8475999e,316f960c08255f0b0ac995907205abba5014dd1b6a2906c04b326ee8c2c1a9ef,0,Mg,Ba:1|Cu:1|O:5|Pr:2,g_0132d102f59f69530282958b7315cfe0a36fba1a34c13311cbad663e8475999e,True,holdout,,
01342ab09e051d6caa7dbff6078f223ce9a535f73ee3390f4fa3730fc90517d5,6c5853fcfc57b8a10c0a4e69f7162860b32f997ad22ea742505dbe1fea9f751a,0,Mg,Ba:1|O:8|V:4,g_01342ab09e051d6caa7dbff6078f223ce9a535f73ee3390f4fa3730fc90517d5,True,development,2,
014bf4498a8c7abb170eb2af74831a34755194b41d9768ef409a9e5cade18e5d,fa21764674dc6e82b5b73494cdfbdb29bfd204c2ff31943ff4b189ac7569c537,0,Zn,Sb:3|Zr:5,g_014bf4498a8c7abb170eb2af74831a34755194b41d9768ef409a9e5cade18e5d,True,development,5,
015910969db938040e010b25b474ab06b0aab35ba2b1e7f22dc1b939060fb81c,e874c488d21a8cd37425bbe8bbe712936732c5f079734fea3c4ce329aeeb2d92,0,Li,C:1|Cr:1|O:7|P:1,g_015910969db938040e010b25b474ab06b0aab35ba2b1e7f22dc1b939060fb81c,True,development,2,0
01662861ea92dedb28195908aff42f020b923f14d2d98cf68b5b56abf0f87759,0cbc5ef16533ae4eb17e78e275b2ac66d6d4aab52b8a263998521afe7ed49d3a,1,Li,Cr:1|H:2|O:10|P:2|V:1,g_01662861ea92dedb28195908aff42f020b923f14d2d98cf68b5b56abf0f87759,True,development,1,3
016ca786a60ba7e12568f49a762ab7eaeba0fd823bdbab2f9a0a23f20f8cf5ca,7ab3d2111c23dde1ce07c1524417a304393eeee79877b592cabca004e6de2a3d,0,Mg,O:2|Sn:1,g_00346dbd0917f5bbb8447c829911a1e9e8bfabcef2a3d4385f9830525fb9be7c,True,development,5,
0195bb9f27999dc113d116e948ec6de4c88a11f49d748eb2ee6a6ee4f3c37bf6,06d18fabfcc22e7a3b61c409cf63ca0494f3d31f7d266df13053707671b142b8,0,Li,Mn:1|Ni:1|O:8|P:2,g_0195bb9f27999dc113d116e948ec6de4c88a11f49d748eb2ee6a6ee4f3c37bf6,True,development,1,2
019ec279735d26b50918e2bfe93b926835ed03a60ad9b04045e459d200d03e84,c6534eb3bc88c4ddbd94806b3baaeb853a16b2b038a159159d44d7f574fbb077,0,Li,Mn:1|Ni:2|O:6,g_019ec279735d26b50918e2bfe93b926835ed03a60ad9b04045e459d200d03e84,True,development,2,9
01a7fa90db5b236c0172b31f2f2e64baf7b1eb94c2f2512ae464baa9cda3f0c3,6aca62704294f55a18023a86d73162ac773e0122e2d224f35eaf9a5618d4d62e,0,Li,B:1|Mn:1|O:7|P:1,g_01a7fa90db5b236c0172b31f2f2e64baf7b1eb94c2f2512ae464baa9cda3f0c3,True,development,5,8
01b5a0c16775c08a8fe513a27661f99f28f9bae3052736a9b135e0b5667b12cc,437f0e31e4fa08bfb4f696e85c89f5a0eaea0d6eacf0363680e137c3fa306fc0,0,Zn,Cu:3|O:12|Sb:4,g_003265d086dc55f79a45edf11c2914e484aaa19b06471f359f4d3b6ceaa0134d,True,development,0,
01bb0f7f1803aeb6603b72355c9c02655804a66fac6e6396c55cc71cfc773170,86a1e040729e57f0ee13914dbb0e9a7295f562ec7bc02d1aded3231b5a1c6703,0,Mg,O:8|P:2|Sr:1|V:1,g_01bb0f7f1803aeb6603b72355c9c02655804a66fac6e6396c55cc71cfc773170,True,development,4,
